time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,train/critic_loss
2000,3481,500.0,0,42267.688536,4,,,,,,
4000,3459,500.0,1,44844.00415575,8,,,,,,
6000,3424,500.0,1,44408.78919691666,12,,,,,,
8000,3453,500.0,2,44378.616160125,16,,,,,,
10000,3469,500.0,2,43811.13361675,20,,,,,,
12000,1304,500.0,9,53987.990904833336,24,1.0990135669708252,-413.26416015625,-0.2670777440071106,499,0.0003,17717.56640625
14000,932,500.0,15,62640.674115785725,28,1.3217484951019287,-968.021484375,-0.8004430532455444,999,0.0003,8970.626953125
16000,762,500.0,20,68759.75723049999,32,1.5399479866027832,-1508.603759765625,-0.9288150668144226,1499,0.0003,5433.9462890625
18000,669,500.0,26,73515.54895030554,36,1.7413114309310913,-1998.823974609375,-1.037295937538147,1999,0.0003,2552.4287109375
20000,609,500.0,32,77478.7187393,40,1.9462478160858154,-2487.887451171875,-1.0914337635040283,2499,0.0003,1374.941162109375
22000,567,500.0,38,80297.56792036364,44,2.1674089431762695,-2958.11572265625,-1.0366880893707275,2999,0.0003,1220.63525390625
24000,536,500.0,44,82925.33981287501,48,2.40533447265625,-3415.510986328125,-0.9428839087486267,3499,0.0003,485.87200927734375
26000,512,500.0,50,85066.26547711539,52,2.662853240966797,-3862.50830078125,-0.812657356262207,3999,0.0003,837.6522216796875
28000,494,500.0,56,87024.64233316072,56,2.9455065727233887,-4292.43994140625,-0.8630126714706421,4499,0.0003,937.2691650390625
30000,480,500.0,62,88594.90867076669,60,3.251221179962158,-4720.90283203125,-0.7442622184753418,4999,0.0003,434.43927001953125
32000,468,500.0,68,89913.51374492187,64,3.581183433532715,-5129.9921875,-0.6258712410926819,5499,0.0003,790.0426635742188
34000,458,500.0,74,91104.11574263235,68,3.9258241653442383,-5528.9345703125,-0.6358426809310913,5999,0.0003,428.60284423828125
36000,449,500.0,80,92177.30748619445,72,4.289992332458496,-5931.05859375,-0.38106605410575867,6499,0.0003,539.6895751953125
38000,441,500.0,85,92948.70324281578,76,4.644482135772705,-6307.33154296875,-0.28828752040863037,6999,0.0003,492.83099365234375
40000,435,500.0,91,93662.43068445,80,4.979069709777832,-6673.6015625,-0.25284677743911743,7499,0.0003,368.9681396484375
42000,428,500.0,97,94420.40272748808,84,5.2771992683410645,-7021.6748046875,-0.21056485176086426,7999,0.0003,434.99285888671875
44000,424,500.0,103,95071.35315877272,88,5.527621269226074,-7383.6708984375,0.10613429546356201,8499,0.0003,360.8026123046875
46000,420,500.0,109,95780.6466342174,92,5.7029900550842285,-7720.27197265625,-0.05157850310206413,8999,0.0003,594.0667724609375
48000,416,500.0,115,96342.62458841667,96,5.818489074707031,-8051.46337890625,0.031625427305698395,9499,0.0003,424.5657653808594
50000,413,500.0,121,96929.69291566,100,5.882616996765137,-8363.330078125,-0.061011239886283875,9999,0.0003,299.19073486328125
52000,409,500.0,126,99566.05723615,104,5.8960113525390625,-8683.25,0.027638595551252365,10499,0.0003,487.03802490234375
54000,406,500.0,132,101905.56130613001,108,5.871416091918945,-9000.982421875,0.07157696038484573,10999,0.0003,344.20916748046875
56000,403,500.0,138,104486.30747386,112,5.845080375671387,-9302.13671875,0.14668676257133484,11499,0.0003,275.63916015625
58000,401,500.0,144,107119.12191497999,116,5.85007381439209,-9582.6181640625,0.14712074398994446,11999,0.0003,427.2601318359375
